symbol,name,current_price,market_cap,pe_ratio,day_high,day_low,volume,currency,exchange
AAPL,Apple Inc.,185.92,2890000000000,29.5,187.20,184.30,52000000,USD,NASDAQ
GOOGL,Alphabet Inc.,141.80,1780000000000,26.3,142.90,140.50,28000000,USD,NASDAQ
MSFT,Microsoft Corporation,378.91,2810000000000,35.8,380.50,376.20,22000000,USD,NASDAQ
TSLA,"Tesla, Inc.",242.84,770000000000,67.4,248.50,240.10,95000000,USD,NASDAQ
RELIANCE.NS,Reliance Industries Limited,2456.30,16600000000000,28.5,2478.00,2445.50,8500000,INR,NSE
TCS.NS,Tata Consultancy Services Ltd,3842.75,14000000000000,32.1,3865.00,3820.00,2200000,INR,NSE
INFY.NS,Infosys Limited,1456.80,6050000000000,27.8,1468.50,1448.20,4800000,INR,NSE
HDFCBANK.NS,HDFC Bank Limited,1678.50,9200000000000,19.5,1685.00,1670.20,3500000,INR,NSE
ITC.NS,ITC Limited,456.75,5650000000000,25.2,460.00,454.50,7200000,INR,NSE
SBIN.NS,State Bank of India,598.30,5320000000000,12.8,602.50,595.00,9800000,INR,NSE